lineId,stationId,name,rating,category,priceRange,recommendedDish,remarks,distance
line-1,s1-1,广州酒家,4.5,正餐,100-200元,烧鹅,广州老字号,150
line-1,s1-2,陶陶居,4.3,正餐,80-150元,虾饺,早茶好去处,200
line-2,s2-1,陈添记鱼皮,4.7,小吃,10-30元,鱼皮,地道广州味,50
line-2,s2-2,顺记冰室,4.4,甜品,20-40元,芒果冰,传统冰室,80
line-3,s3-1,点都德,4.2,正餐,60-120元,红米肠,网红早茶,100
line-3,s3-2,南信双皮奶,4.5,甜品,15-35元,双皮奶,百年老店,60
line-4,s4-1,宝华面店,4.6,快餐,30-60元,云吞面,排队人气店,70
line-4,s4-2,皇上皇,4.3,小吃,20-50元,腊肠,广州特产,90
line-5,s5-1,炳胜品味,4.4,正餐,120-200元,黑叉烧,米其林推荐,180
line-5,s5-2,广州塔旋转餐厅,4.0,正餐,200-300元,自助餐,景观餐厅,250
